p1,int_average_g,type_best_classification,type2_best_sub_classification,mode_best_classification
0.8110434856425396,17.009719776480487,DCEP,,UNDEFINED
3.384487302249762,15.047712897486022,DCEP,,FIRST_OVERTONE
2.6933124410308897,17.37218600275379,DCEP,,UNDEFINED
3.5627807199426025,15.650187214269625,DCEP,,FUNDAMENTAL
2.7956924548244784,15.150801232555029,DCEP,,FIRST_OVERTONE
5.222383335036958,15.02506288672347,DCEP,,FUNDAMENTAL
1.3996212116087041,16.15496107365725,DCEP,,FIRST_OVERTONE
2.1856421799269885,15.701151413253084,DCEP,,FIRST_OVERTONE
2.4490632756252544,15.26477922072159,DCEP,,FIRST_OVERTONE
2.906692458005388,16.012983482422204,DCEP,,FUNDAMENTAL
3.575273020442268,15.490358940032483,DCEP,,FUNDAMENTAL
1.3256257776962055,16.14473403950771,DCEP,,FIRST_OVERTONE
5.425609575015338,15.202036051003265,DCEP,,FUNDAMENTAL
2.2932145972458953,16.04897841131205,DCEP,,FUNDAMENTAL
3.4510069311836187,15.022863214806312,DCEP,,FIRST_OVERTONE
1.94143159783126,15.73891592268646,DCEP,,FIRST_OVERTONE
1.8110561231175608,15.799362227845041,DCEP,,FIRST_OVERTONE
2.027941972584351,15.529520071132026,DCEP,,FIRST_OVERTONE
7.477437822220581,14.879725848408075,DCEP,,FUNDAMENTAL
2.925451523281372,15.70246868237007,DCEP,,FUNDAMENTAL
3.614729153978948,14.954082877377754,DCEP,,FIRST_OVERTONE
12.344893037972328,17.27123110492655,T2CEP,W_VIR,NOT_APPLICABLE
3.8386939678484437,14.788638034712074,DCEP,,FIRST_OVERTONE
3.6510754399038294,14.82739673056611,DCEP,,FIRST_OVERTONE
2.562626343755672,15.190545171689973,DCEP,,FIRST_OVERTONE
2.5760278919969046,15.496615728628187,DCEP,,FIRST_OVERTONE
2.013016128515109,16.258188929514205,DCEP,,FUNDAMENTAL
4.960585258111933,14.91037036464347,DCEP,,FUNDAMENTAL
4.018896751151988,15.54170339994304,DCEP,,FUNDAMENTAL
1.812356210579068,16.058993734628604,DCEP,,FIRST_OVERTONE
8.723074631703131,14.475415157663186,DCEP,,FUNDAMENTAL
16.203569512684993,16.876599089735176,T2CEP,W_VIR,NOT_APPLICABLE
1.1037813620347412,16.587413342813278,DCEP,,FIRST_OVERTONE
1.4943632403891975,15.91372917091794,DCEP,,FIRST_OVERTONE
1.300098888933966,16.418526044840995,DCEP,,FIRST_OVERTONE
2.7854883407584414,16.00294965988225,DCEP,,FUNDAMENTAL
3.0536752211519826,15.000739679378563,DCEP,,FIRST_OVERTONE
8.325548799530276,14.46530907895108,DCEP,,FUNDAMENTAL
7.90295519354004,15.047441185625125,DCEP,,FUNDAMENTAL
10.981494409801012,14.384735325181788,DCEP,,FUNDAMENTAL
2.2443118122256474,15.472077210565772,DCEP,,FIRST_OVERTONE
3.131379881398149,15.652573602920334,DCEP,,FUNDAMENTAL
2.5729331332652126,15.92164330485356,DCEP,,FUNDAMENTAL
0.7552261916429333,17.971497009611976,ACEP,,UNDEFINED
3.861717357213326,15.451801774484203,DCEP,,FUNDAMENTAL
2.694771963377298,15.226926847530013,DCEP,,FIRST_OVERTONE
1.942256108168624,15.551020934033295,DCEP,,FIRST_OVERTONE
2.42464723557046,15.216329053698395,DCEP,,FIRST_OVERTONE
1.9174449440244485,16.401983815633816,DCEP,,FUNDAMENTAL
1.0276277883902856,16.643278489659952,DCEP,,FIRST_OVERTONE
2.715962542094754,15.078943720649299,DCEP,,FIRST_OVERTONE
2.740853407560818,15.02373636702047,DCEP,,FIRST_OVERTONE
1.5173232349600543,15.804687984919843,DCEP,,FIRST_OVERTONE
1.2984705933937963,16.263920649829068,DCEP,,FIRST_OVERTONE
1.4380057418452081,18.121170456751877,T2CEP,BL_HER,NOT_APPLICABLE
8.635154863496574,14.413673797865698,DCEP,,FUNDAMENTAL
1.879431935688267,15.760250051839275,DCEP,,FIRST_OVERTONE
2.2007793711868096,15.630717667288597,DCEP,,FIRST_OVERTONE
3.0237588946946365,15.891433921568874,DCEP,,FUNDAMENTAL
0.660658762996805,17.24854560853182,DCEP,,FIRST_OVERTONE
2.2929218967315155,16.01045147814362,DCEP,,FUNDAMENTAL
4.36503502348327,15.366131963017445,DCEP,,FUNDAMENTAL
3.679740050115232,15.546336738392267,DCEP,,FUNDAMENTAL
2.4314071703025406,15.463226753416386,DCEP,,FIRST_OVERTONE
2.1613702322336796,15.627975328488015,DCEP,,FIRST_OVERTONE
4.51247009258552,15.051710266917915,DCEP,,FUNDAMENTAL
3.9685564348605213,15.416603094506094,DCEP,,FUNDAMENTAL
0.8269481881731745,17.421030116750455,ACEP,,FIRST_OVERTONE
2.1510639385890866,15.49656976339866,DCEP,,FIRST_OVERTONE
3.9829777654663587,15.303595641381644,DCEP,,FUNDAMENTAL
6.191818291607805,14.849076121867125,DCEP,,FUNDAMENTAL
2.194285288001794,15.487379834628447,DCEP,,FIRST_OVERTONE
1.6573716447251574,16.59691286989047,DCEP,,FIRST_OVERTONE
3.1765337962368854,14.90985760576068,DCEP,,FIRST_OVERTONE
2.0945153406498322,15.497892032944062,DCEP,,FIRST_OVERTONE
2.4063288560931886,16.08068457656895,DCEP,,FUNDAMENTAL
3.0100289507004527,15.71940731286582,DCEP,,FUNDAMENTAL
1.7791766477092028,15.611432180650375,DCEP,,FIRST_OVERTONE
0.8989386686091364,16.90618636062738,DCEP,,FIRST_OVERTONE
1.6682312769363132,15.875161705655966,DCEP,,FIRST_OVERTONE
1.9244899887234244,15.92043537929672,DCEP,,FIRST_OVERTONE
2.0171180789874525,15.81514002189646,DCEP,,FIRST_OVERTONE
1.1360659819031744,16.57286765903103,DCEP,,FIRST_OVERTONE
8.088700382627096,14.500355002620488,DCEP,,FUNDAMENTAL
4.8187700315453235,15.070363790314094,DCEP,,FUNDAMENTAL
3.622561389513148,15.63985102496101,DCEP,,FUNDAMENTAL
2.9261276249851536,15.803482422753817,DCEP,,FUNDAMENTAL
9.296514476830481,14.26794990230729,DCEP,,FUNDAMENTAL
2.8484333980452012,14.909065552548071,DCEP,,FUNDAMENTAL
0.8604389777392613,16.939317043983273,DCEP,,FIRST_OVERTONE
3.372279950708453,15.760589730247762,DCEP,,FUNDAMENTAL
3.6165592506676423,15.697855704722194,DCEP,,FUNDAMENTAL
3.2698280874623737,15.625852818021386,DCEP,,FUNDAMENTAL
1.713924950738837,15.714511323735502,DCEP,,FIRST_OVERTONE
3.681960155423356,15.523764883709086,DCEP,,FUNDAMENTAL
3.892836024387822,15.564479825961246,DCEP,,FUNDAMENTAL
2.369105035536142,16.103267775398315,DCEP,,FUNDAMENTAL
7.7360342954073635,17.360353437851533,T2CEP,BL_HER,NOT_APPLICABLE
1.90129908286521,16.49533196384089,DCEP,,FUNDAMENTAL
3.1397015919927385,15.91385610827065,DCEP,,FUNDAMENTAL
2.5626213096785277,15.314890113592476,DCEP,,FIRST_OVERTONE
5.068262088563876,15.254255177590059,DCEP,,FUNDAMENTAL
1.6316462885260141,15.782363052190489,DCEP,,FIRST_OVERTONE
4.632641519365649,15.364972965525524,DCEP,,FUNDAMENTAL
1.0261736889863788,16.7432666537158,DCEP,,FIRST_OVERTONE
2.964930832502346,15.793002231825565,DCEP,,FUNDAMENTAL
2.4914140790537043,16.0327437918782,DCEP,,FUNDAMENTAL
5.3772078109716155,15.221727835604344,DCEP,,FUNDAMENTAL
3.7439418469038785,15.412339604362288,DCEP,,FUNDAMENTAL
2.6987815443150325,15.184179635756482,DCEP,,FIRST_OVERTONE
0.3281989068227667,18.28381789578706,DCEP,,FIRST_OVERTONE
2.359506023325003,15.408390110312807,DCEP,,FIRST_OVERTONE
2.287091990462483,15.400974830108577,DCEP,,FIRST_OVERTONE
1.3831197379675415,16.299441231115768,DCEP,,FIRST_OVERTONE
2.9139141076839503,15.009077188899937,DCEP,,FIRST_OVERTONE
3.0168767868701254,15.760146616925084,DCEP,,FUNDAMENTAL
3.4801701137273944,15.011907563626375,DCEP,,FIRST_OVERTONE
12.073416648075113,14.082741434333162,DCEP,,FUNDAMENTAL
2.021558623205971,15.712973470938147,DCEP,,FIRST_OVERTONE
4.564261287987572,15.097523388929776,DCEP,,FUNDAMENTAL
1.2691454414711265,16.45710409946052,DCEP,,FIRST_OVERTONE
4.057138327724935,15.571212893134177,DCEP,,FUNDAMENTAL
3.9205795233363476,15.608552635948792,DCEP,,FUNDAMENTAL
4.322981352018121,15.25617398692644,DCEP,,FUNDAMENTAL
1.899264417551938,15.622322191833153,DCEP,,FIRST_OVERTONE
2.3660856907674277,15.931128876486685,DCEP,,FUNDAMENTAL
3.7722336633544535,15.399147947974019,DCEP,,FUNDAMENTAL
5.121578921951319,15.24951386495978,DCEP,,FUNDAMENTAL
5.1216246239455945,15.206857192044957,DCEP,,FUNDAMENTAL
4.904536539920538,14.482862585356688,DCEP,,FIRST_OVERTONE
16.315446733307756,16.406261633609862,T2CEP,W_VIR,NOT_APPLICABLE
2.739883713858786,16.08222753107378,DCEP,,FUNDAMENTAL
2.057988092176331,16.190194219614686,DCEP,,FUNDAMENTAL
2.415182224329165,15.774029791006072,DCEP,,FIRST_OVERTONE
1.8809161998143862,16.477012283504603,DCEP,,FUNDAMENTAL
1.6507643779447927,15.73490834859525,DCEP,,FIRST_OVERTONE
16.90654328116745,13.651241540687147,DCEP,,FUNDAMENTAL
2.5967344834424972,15.162845758251024,DCEP,,FIRST_OVERTONE
2.292409685347196,15.589354123798119,DCEP,,FIRST_OVERTONE
4.914315223104539,15.36092013699702,DCEP,,FUNDAMENTAL
1.0607540505128519,16.45548340812281,DCEP,,FIRST_OVERTONE
9.109508087721437,14.290389228513767,DCEP,,FUNDAMENTAL
4.801822120666355,15.343302836612258,DCEP,,FUNDAMENTAL
2.3134953541799352,16.109176739517974,DCEP,,FUNDAMENTAL
4.213588069043612,14.599520115845905,DCEP,,FIRST_OVERTONE
1.2188102546654822,16.470057743539826,DCEP,,FIRST_OVERTONE
2.24658586952853,15.534852758352498,DCEP,,FIRST_OVERTONE
2.019628347475834,15.405649541299216,DCEP,,FIRST_OVERTONE
1.1771230936707204,16.43091748776818,DCEP,,FIRST_OVERTONE
2.855128319054834,15.972816464854452,DCEP,,FUNDAMENTAL
2.0611462825980906,15.530324669166465,DCEP,,FIRST_OVERTONE
20.70126522900969,13.804701980853382,DCEP,,FUNDAMENTAL
3.5146847111765855,15.0881487089409,DCEP,,FIRST_OVERTONE
2.396715499765981,16.308125718403605,DCEP,,FUNDAMENTAL
5.333033973568175,15.072177888291758,DCEP,,FUNDAMENTAL
4.321603829935798,15.566973160370008,DCEP,,FUNDAMENTAL
2.837698373467266,15.197450242358496,DCEP,,FIRST_OVERTONE
4.096043520218018,15.510303315276667,DCEP,,FUNDAMENTAL
8.930132506671637,14.60169192755133,DCEP,,FUNDAMENTAL
5.13573368360336,15.188176395936953,DCEP,,FUNDAMENTAL
3.028462279818411,16.16181240826596,DCEP,,FUNDAMENTAL
8.020332820076606,14.821332858995099,DCEP,,FUNDAMENTAL
3.09079605537166,15.114081275581144,DCEP,,FIRST_OVERTONE
4.4561707572886675,15.276615629567598,DCEP,,FUNDAMENTAL
2.955475377592518,15.888923290865517,DCEP,,FUNDAMENTAL
8.732006208347968,14.467810012161753,DCEP,,FUNDAMENTAL
4.090035879737618,15.551332722370358,DCEP,,FUNDAMENTAL
3.1711298141177204,15.666016767176066,DCEP,,FUNDAMENTAL
4.66681015851917,15.282178030348156,DCEP,,FUNDAMENTAL
2.2539593093515267,15.541699448476198,DCEP,,FIRST_OVERTONE
9.03685978827741,14.69984473627518,DCEP,,FUNDAMENTAL
3.514195293159859,14.99673084532825,DCEP,,FIRST_OVERTONE
3.6695044251074505,14.818380772801786,DCEP,,FIRST_OVERTONE
3.061206351759879,14.918568402961094,DCEP,,FIRST_OVERTONE
8.61018362870408,14.708053344813113,DCEP,,FUNDAMENTAL
4.533786300090799,15.244535952279874,DCEP,,FUNDAMENTAL
7.023013047497563,14.765006154350598,DCEP,,FUNDAMENTAL
3.4782568462579078,14.810278638457106,DCEP,,FIRST_OVERTONE
1.5997289096478817,16.809866876049917,DCEP,,FUNDAMENTAL
3.1056364159805714,15.059340477596962,DCEP,,FIRST_OVERTONE
2.261699580301948,15.518887412291543,DCEP,,FIRST_OVERTONE
4.988458565357597,15.110829885975134,DCEP,,FUNDAMENTAL
3.3155607466871935,15.812388973846623,DCEP,,FUNDAMENTAL
2.936469677034061,15.045347268409815,DCEP,,FIRST_OVERTONE
4.008392182649031,15.559797605811326,DCEP,,FUNDAMENTAL
7.986433706757484,14.533622242129686,DCEP,,FUNDAMENTAL
3.7952043639250093,14.880481637089654,DCEP,,FIRST_OVERTONE
3.1621576542456236,15.818321598750313,DCEP,,FUNDAMENTAL
3.6867476663487686,15.341123883495392,DCEP,,FUNDAMENTAL
1.8294896409154484,15.57496610450358,DCEP,,FIRST_OVERTONE
10.440182635101786,14.651504247885619,DCEP,,FUNDAMENTAL
3.2618323783242635,15.57357621657986,DCEP,,FUNDAMENTAL
3.0774313408935168,15.790265201818379,DCEP,,FUNDAMENTAL
2.4510499932283287,15.339642056148275,DCEP,,FIRST_OVERTONE
2.0942214743830245,15.512025855359173,DCEP,,FIRST_OVERTONE
3.2123047115855536,15.751727731972043,DCEP,,FUNDAMENTAL
1.946796457332865,15.577711263652944,DCEP,,FIRST_OVERTONE
2.0391104876470063,15.431366628992567,DCEP,,FIRST_OVERTONE
1.7685372422007914,15.631894320142104,DCEP,,FIRST_OVERTONE
2.9566001613612984,15.62774881252411,DCEP,,FUNDAMENTAL
1.1645370198615221,16.34735867471422,DCEP,,FIRST_OVERTONE
9.18666166650539,16.928528016796037,T2CEP,W_VIR,NOT_APPLICABLE
1.8707599261410135,15.706348756693167,DCEP,,FIRST_OVERTONE
4.195551845237016,14.774958995339206,DCEP,,FIRST_OVERTONE
5.107476346501745,15.102258388908679,DCEP,,FUNDAMENTAL
2.890801257846806,15.115315726979613,DCEP,,FIRST_OVERTONE
2.076009271044547,16.824711879784793,DCEP,,FIRST_OVERTONE
2.567615694311822,15.463918524678398,DCEP,,FIRST_OVERTONE
4.082879357350364,15.733350859314832,DCEP,,FUNDAMENTAL
6.69537255958038,14.721599036085763,DCEP,,FUNDAMENTAL
1.8857166827027791,15.916543340814918,DCEP,,FIRST_OVERTONE
4.041525905796865,15.609845861989427,DCEP,,FUNDAMENTAL
2.1907205981417177,15.682362841956483,DCEP,,FIRST_OVERTONE
2.5725566686435184,15.321280751035522,DCEP,,FIRST_OVERTONE
4.276504090813826,15.390201450298424,DCEP,,FUNDAMENTAL
3.6747117942358,15.539543886599095,DCEP,,FUNDAMENTAL
4.397259975516958,15.458764716136866,DCEP,,FUNDAMENTAL
1.80655973535586,15.823001994589681,DCEP,,FIRST_OVERTONE
4.336441383915019,15.362224427341992,DCEP,,FUNDAMENTAL
2.348551960976033,15.36150551855022,DCEP,,FIRST_OVERTONE
3.2219778423392564,15.661485831752257,DCEP,,FUNDAMENTAL
1.9557632246232024,15.80480541029723,DCEP,,FIRST_OVERTONE
2.1361506713993985,15.865266081856484,DCEP,,FIRST_OVERTONE
4.63549525901887,15.137653252137834,DCEP,,FUNDAMENTAL
5.068605977362692,14.999149356635861,DCEP,,FUNDAMENTAL
1.46566845583117,15.894806210040242,DCEP,,FIRST_OVERTONE
1.1952974973076083,17.438039288931574,DCEP,,FUNDAMENTAL
0.8432680738794346,17.039400760885982,DCEP,,FIRST_OVERTONE
3.6668026532987024,15.303601593924391,DCEP,,FUNDAMENTAL
2.1184466557763812,15.527105337219345,DCEP,,FIRST_OVERTONE
3.3542559480525918,15.784073734599406,DCEP,,FUNDAMENTAL
0.9316696260138742,18.043140661203672,ACEP,,UNDEFINED
3.4438579481673175,15.744235923085537,DCEP,,FUNDAMENTAL
3.0724523739315783,15.689536680529343,DCEP,,FUNDAMENTAL
2.9613325506573207,15.851715105059952,DCEP,,FUNDAMENTAL
1.1159277140402553,16.65976932623257,DCEP,,FIRST_OVERTONE
2.6275945908263507,15.364008386312413,DCEP,,FIRST_OVERTONE
0.37099965624943393,18.074959860810193,DCEP,,UNDEFINED
5.965875897894971,15.261185539338273,DCEP,,FUNDAMENTAL
4.013527019181779,15.525700421416719,DCEP,,FUNDAMENTAL
3.565819330258264,15.718866542282353,DCEP,,FUNDAMENTAL
1.8179631651551262,16.226483561426303,DCEP,,FIRST_OVERTONE
2.8518849116475944,15.953611111195512,DCEP,,FUNDAMENTAL
2.99801618304362,15.928624781925782,DCEP,,FUNDAMENTAL
1.8718354600770672,15.6696858029775,DCEP,,FIRST_OVERTONE
3.1513973955476158,15.080734753157227,DCEP,,FIRST_OVERTONE
1.9046263369562455,18.29886372652283,T2CEP,BL_HER,NOT_APPLICABLE
3.184941780101668,15.853752647296258,DCEP,,FUNDAMENTAL
1.3582906262235817,16.63997304284233,DCEP,,FUNDAMENTAL
2.246948475959039,15.904065937481427,DCEP,,FIRST_OVERTONE
1.7964833050075029,16.02285565201912,DCEP,,FIRST_OVERTONE
2.735955594066716,16.026136937514963,DCEP,,FUNDAMENTAL
1.3645965821912767,15.894385775513122,DCEP,,FIRST_OVERTONE
2.082202566320138,15.621039343999453,DCEP,,FIRST_OVERTONE
3.551012746117911,15.885866540499215,DCEP,,FUNDAMENTAL
2.8725026028226432,15.907197755121132,DCEP,,FUNDAMENTAL
3.189016468487321,15.781856955312122,DCEP,,FUNDAMENTAL
1.9365713910811884,15.779230171466699,DCEP,,FIRST_OVERTONE
3.061272352928914,15.044462365349986,DCEP,,FIRST_OVERTONE
1.513149537104708,15.92730874681422,DCEP,,FIRST_OVERTONE
1.6866319760305182,17.415598036459627,ACEP,,FUNDAMENTAL
3.005664514552127,15.9396884064426,DCEP,,FUNDAMENTAL
3.1633237309289943,15.557569974286437,DCEP,,FUNDAMENTAL
3.1368363884854973,15.827189059759778,DCEP,,FUNDAMENTAL
2.3270583361141717,16.245598101135208,DCEP,,FUNDAMENTAL
2.4189568115777544,16.18336227091951,DCEP,,FUNDAMENTAL
2.3915317015902877,15.551103241981883,DCEP,,FIRST_OVERTONE
10.920944570739804,16.64193388674835,T2CEP,W_VIR,NOT_APPLICABLE
2.392241620330483,15.835793783550034,DCEP,,FUNDAMENTAL
3.083855367722869,15.793712908930997,DCEP,,FUNDAMENTAL
4.638327443517453,15.225262837422784,DCEP,,FUNDAMENTAL
1.9071572776209258,15.637562410704376,DCEP,,FIRST_OVERTONE
11.395881107996718,16.75616734454041,T2CEP,W_VIR,NOT_APPLICABLE
0.34026756406742736,17.942519361957274,DCEP,,UNDEFINED
8.058018796214725,14.617314876472056,DCEP,,FUNDAMENTAL
2.351607725074111,15.520875887578246,DCEP,,FIRST_OVERTONE
2.6809966020055764,15.94897807587432,DCEP,,FUNDAMENTAL
1.9188322270751519,16.000614490152984,DCEP,,FIRST_OVERTONE
3.102102059253183,15.788983446803655,DCEP,,FUNDAMENTAL
2.728928255883268,15.858249583992713,DCEP,,FUNDAMENTAL
3.1377099021316712,15.704574000813643,DCEP,,FUNDAMENTAL
2.867702014785594,15.787623395146928,DCEP,,FUNDAMENTAL
1.8184586494821362,15.741436454093108,DCEP,,FIRST_OVERTONE
4.516740483686645,15.437017397009939,DCEP,,FUNDAMENTAL
1.838331206990298,15.853845645889162,DCEP,,FIRST_OVERTONE
2.143176930415135,15.869807727436138,DCEP,,FIRST_OVERTONE
3.133501253524925,15.619903048883728,DCEP,,UNDEFINED
3.260662402748548,15.878866815403654,DCEP,,FUNDAMENTAL
4.4333917602905055,15.337767446942847,DCEP,,FUNDAMENTAL
17.198216638888624,14.060314406119382,DCEP,,FUNDAMENTAL
0.9834133214367593,16.969597211445183,DCEP,,FIRST_OVERTONE
3.0142961240369415,15.175390582473252,DCEP,,FIRST_OVERTONE
2.7120004190641316,15.95149642621024,DCEP,,FUNDAMENTAL
1.2614038441751954,16.409377219366558,DCEP,,FIRST_OVERTONE
2.3573498173613343,15.923572433457876,DCEP,,FUNDAMENTAL
2.8613687677129063,15.963424483332505,DCEP,,FUNDAMENTAL
1.7940324045857323,15.739527239865591,DCEP,,FIRST_OVERTONE
4.241419072691122,15.587222998379314,DCEP,,FUNDAMENTAL
